10
21.1326 3.75566 713.926 34.3278 -89.5694 0 -68.3832 -20.6796 11.3438 -42.9011 
14.275 4.69741 551.236 21.3746 -69.4253 1.75 -48.4968 -10.4465 5.48486 -27.2317 
-9.58074 2.89061 -184.321 -8.12766 23.1651 0 22.4826 10.7222 -2.80556 20.7654 
3.06679 2.44512 153.856 7.93252 -19.2915 0 -13.9338 -2.91814 2.43684 -6.03686 
-8.67308 5.77111 -172.439 -2.99503 21.7459 -1.5 9.52436 2.83421 0.701389 18.0987 
0.246725 -0.289671 3.70726 -2.74022 -0.596741 1 1.46563 1.47071 -1.75132 -0.16024 
0 0 0 0 0 0 1 0 0 0 
8.96816 -2.25457 152.882 7.37462 -19.2491 0 -22.3884 -10.3439 2.0149 -19.5471 
-18.7758 10.9859 -189.813 -8.01971 23.9027 0 33.0922 20.2241 -2.09297 41.6548 
-0.541037 -0.0611638 12.72 -0.312041 -1.59 0 2.15384 2.12775 0.285714 2.21828 
