10
-79.8089 0.0528968 -0.15 4.95816 0.0166327 1.70467 0.916786 5.67964 0.831429 0.8 
-24.6005 -1.55124 2 -3.66421 -2.92034 -1.65117 -1.20031 -4.51351 -1.41508 2.83333 
0 1 1 3.19728 -0.0480442 -3.59061 2.45833 4.69577 0.142857 0.611111 
0 -5.10417 0.0208333 -36.9889 5.52539 -16.1338 -4.63628 -40.4901 -5.49702 -11.4873 
9.36349 0.502086 1.73333 3.89331 0.795329 -2.67785 0.397718 6.22604 0.499524 0.755556 
0 1.5 0.5 5.59864 0.0259779 0.332474 0.929167 7.03677 0.871429 0.972222 
-2.45556 -1.60901 -0.316667 -5.38707 -0.538873 -0.0982209 0.0215278 -6.95045 -0.951905 -0.419444 
-27.5238 -2.5795 0 -8.89456 -1.77891 -0.778274 -1.49774 -11.4147 -1.78571 0 
17 0.177778 0 5.71429 1.14286 0.5 0.835 7.33333 1 0 
3.68333 0.388519 -0.2 2.18912 -0.862177 1.88599 0.213333 1.89825 0.251429 1.06667 
