100 100
3454.67 -2.5284 15.6 3.79259 0 0 1.6 0 0 -9 -1.88571 0 57.2444 0 0 9.61358 -1.66667 -46.8 56 -6.4 16 0 241.92 18 -4.85587 -11.3778 -0.766667 -12 0 0.31746 0 0 0 -4.48 0 -4.01829 0 -2.88 0 -16 0 -70.576 0 -2.13333 0 0 0 1.28 16 0 3.2 -3.84 -2.84444 -8 -8.71111 -16.128 -11.52 -4.26667 -20.8381 -3.84 0 0 0 4.08889 -7.73333 0 -0.571429 0 -0.642857 -14.5867 -4 48.384 -3.79259 0 -86.4 0 70.4 -17.0667 -2.13333 0 0 -7.2 0 0 2.56 0 -8 4.32 -5.33333 0.711111 0 0 0.967901 0 -16 0 4.51667 20.25 1.86667 32 
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857 0 0 0 0 0 0 0 0 0 0 -0.625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.5 0 0 0 -0.5 0 0 0 0 0 0 0 0 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -0.5 0 0 0 0 0 0.25 0 0 
-1029.07 0.702332 1.16667 -1.0535 0 2 -0.444444 0 0.1 0 -0.484127 0 -15.9012 0 0 -1.61599 0 -3.5 0 1.77778 -0.2 0 -114.311 0 1.06314 2.88272 0.864253 105 0 -1.19048 0 -1.23457 0 1.24444 0 -0.36 -1.20467e-19 0.8 0 0 0 16.46 0 -0.657407 0 0 0.396825 -0.355556 0 0 -0.888889 1.42381 0.790123 0 2.88272 7.54667 4.2 1.18519 -0.724868 1.06667 0 0 0 -1.1358 1.77778 0 2.14286 0 2.41071 -0.507407 0 -22.64 2.96091 -0.462963 24 0 4.66667 4.32407 -0.657407 0.5 0.694444 2 0 0.833333 -0.711111 0 0 -1.60179 0 17.8025 0 0 -0.320302 0 0 0 -1.6584 0.25 -0.144444 -8.88889 
-360 -0.666667 12.5333 1 0 -0.964286 0 0 0 0 5.14286 -0.9 0 0 0 10.1852 0 -37.6 0 0 0 0 78.75 0 0 -1.33333 9 216 0 -5.71429 0 0 0 0 0 0 -8.88889 0 0 0 0 -59.625 0 0 0 0 1.90476 0 0 0 0 1.71429 0 0 -1.33333 -5.25 -3.75 -1.125 0 0 0 0 0 0 0 0 10.2857 0 11.5714 0 0 15.75 -0.444444 -4.47222 0 0 50.1333 -2 0 0 3.33333 0 0 4 0 0 0 -1.92857 0 -8.67857 0 0 0.148148 0 0 0 -3.375 0 0 0 
45 0 0.04 0 1 0 0.571429 0 0.09375 0 0 -1.71429 0.75 -9.44643 0 -0.279218 0 -0.12 0 0 -0.5 0 34.9429 0 0 0.37037 0.08125 0.832653 0 -0.31746 0 0 0 0 0.166667 0 0 -1.02857 0 0 0 -10.6829 0 0 0 0 0 0 0 0 0 -0.6 0 0.833333 0.37037 -2.52 -1.8 0 -0.946429 0 0 0 0 -1.875 -0.861111 -0.857143 0.571429 0 0.642857 -0.75 0 6.98857 0.123457 0 0.5 0 0.16 0.555556 0 0 0 0 0 0 0.914286 0 0 0.675 0 -1.5 0 0 -0.0411523 0 0 -0.5 -0.025 0 0.922222 0 
0 0 0 0 0 1 0 0 0 0 0 0 0 -0.535714 -0.46875 -1.71429 0 0 0 0 0 0 -7.5 0 0 0 -1.71429 0 0 0 1.55357 0 0 0 0 0 1.66667 0 0 0 0 2.25 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0.306122 0 0 -0.375 0 0 0 0 0 0 0 0.214286 0 -1.5 0 0.416667 0 0 0 0 0.5 0 -0.625 0 0 0 0 0 0 0 -0.0535714 9 0 0 0 0 0 0 0.857143 0 0 0 
0 0 0 0 0 0 1 0 0 0 0 -3 0 -1 0 0 0 0 0 0 0 0 -5 0 0 0 0 -0.642857 0 -0.555556 0 0 0 0 0 0 0 -1.8 0 0 0 1.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.5 1 0 1.125 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 1.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
901.6 -0.663704 4.2 0.995556 0 0 0.42 1 0 0 -0.42 -0.2 15.0267 -0.4 0 2.65481 0 -12.6 0 -1.68 0 0 212.704 0 -1.27467 -2.98667 -0.07 -0.257143 0 0.208333 0 0 0 -1.176 0.625 -0.6048 0 -0.756 0 0 0 -63.8112 0 -0.56 0 0 0 0.336 0 0 0.84 -3.408 -0.746667 0 -2.98667 -14.3136 -10.224 -1.12 0.28 -1.008 0 0 0 1.07333 -5.68 -0.6 -0.375 0 -0.421875 0.196 0 42.5408 -0.745556 0 -22.68 -0.5 16.8 -4.33 -0.56 0 0 -1.89 0 0 0.672 0 0 3.834 0 0.186667 0 0 0.331852 0 3.33333 0 1.12 0 2.095 8.4 
-7.5 0 -0.00666667 0 -0.166667 0 -0.0952381 0 0.984375 0 0 0.285714 -0.125 1.5744 0 0.0465364 0 0.02 0 0 0.0833333 0 -5.82381 0 0 -0.0617284 -0.0135417 -0.138776 0 0.0529101 0 0 0 0 -0.0277778 0 0 0.171429 0 0 0 1.78048 0 0 0 0 0 0 0 0 0 0.1 0 -0.138889 -0.0617284 0.42 0.3 0 0.157738 0 0 0 0 0.3125 0.143519 0.142857 -0.0952381 0 -0.107143 0.125 0 -1.16476 -0.0205761 0 -0.0833333 0 -0.0266667 -0.0925926 0 0 0 0 0 0 -0.152381 0 0 -0.1125 0 0.25 0 0 0.00685871 0 0 0.0833333 0.00416667 0 -0.153704 0 
-1773.44 1.2963 0.0887773 -1.94444 0 2.95312 -0.820313 0 1.28516 1 -0.523003 1.28194 -28.0681 0.718981 1.25 -3.54737 0 -0.16911 -0.984375 3.28125 -2.57031 0 -106.591 0 2.0461 5.61762 1.35208 155.422 -0.39375 -2.5543 0 -1.82292 0.875 2.29688 0 -0.437062 -1.77877e-19 2.72656 0 0 -0.05625 4.54854 0 -0.751953 0 0 -0.213715 -0.559028 0 0 -1.64063 0.798594 1.45833 -0.55125 5.80137 7.08115 -0.496725 3.0625 -6.05469 1.7325 -0.875 0 0 -2.82552 -1.09812 0.422222 4.59774 0 3.62207 -4.23828 0 -20.2814 4.82567 -0.683594 44.5047 0 0.906359 8.13477 -0.751953 0.738281 1.02539 3.69141 0 1.23047 -1.3125 -0.125 0 -0.898418 0.590625 25.6302 0.70625 0.166667 -0.644597 -0.1125 0 -2.275 -3.78554 -1.88086 3.91103 -16.4063 
